"Class","Library","Total Instances","Total Size","Total Dart Heap Size","Total External Size","New Space Instances","New Space Size","New Space Dart Heap Size","New Space External Size","Old Space Instances","Old Space Size","Old Space Dart Heap Size","Old Space External Size"
LucideIconData,package:lucide_icons_flutter/src/icon_data.dart,28,896,896,0,0,0,0,0,28,896,896,0
MapEventSource,package:flutter_map/src/gestures/map_events.dart,19,608,608,0,0,0,0,0,19,608,608,0
Permission,package:permission_handler_platform_interface/permission_handler_platform_interface.dart,35,560,560,0,0,0,0,0,35,560,560,0
Strategy,package:clerk_auth/src/models/client/strategy.dart,31,496,496,0,0,0,0,0,31,496,496,0
UserAttributeData,package:clerk_auth/src/models/environment/user_attribute_data.dart,10,480,480,0,0,0,0,0,10,480,480,0
_InheritedProviderScopeElement,package:provider/src/provider.dart,5,480,480,0,0,0,0,0,5,480,480,0
ClerkErrorCode,package:clerk_auth/src/clerk_auth/clerk_error.dart,15,480,480,0,0,0,0,0,15,480,480,0
UserAttribute,package:clerk_auth/src/models/enums.dart,11,352,352,0,0,0,0,0,11,352,352,0
DisplayConfig,package:clerk_auth/src/models/environment/display_config.dart,2,320,320,0,0,0,0,0,2,320,320,0
ConnectivityResult,package:connectivity_plus_platform_interface/src/enums.dart,8,256,256,0,0,0,0,0,8,256,256,0
_CreateInheritedProviderState,package:provider/src/provider.dart,5,240,240,0,0,0,0,0,5,240,240,0
_AuthField,package:roomora/views/pages/Auth/sign_up_page.dart,5,240,240,0,0,0,0,0,5,240,240,0
ChangeNotifierProvider,package:provider/src/change_notifier_provider.dart,5,240,240,0,0,0,0,0,5,240,240,0
Status,package:clerk_auth/src/models/status.dart,14,224,224,0,0,0,0,0,14,224,224,0
SocialConnection,package:clerk_auth/src/models/environment/social_connection.dart,4,192,192,0,0,0,0,0,4,192,192,0
PermissionStatus,package:permission_handler_platform_interface/permission_handler_platform_interface.dart,6,192,192,0,0,0,0,0,6,192,192,0
_CreateInheritedProvider,package:provider/src/provider.dart,5,160,160,0,0,0,0,0,5,160,160,0
Matrix4,package:vector_math/vector_math_64.dart,10,160,160,0,4,64,64,0,6,96,96,0
Config,package:clerk_auth/src/models/environment/config.dart,2,160,160,0,0,0,0,0,2,160,160,0
_InheritedProviderScope,package:provider/src/provider.dart,5,160,160,0,0,0,0,0,5,160,160,0
_JFinalizable,package:jni/src/jreference.dart,5,144,80,64,0,0,0,0,5,144,80,64
